Image,Food Name,Summary,Ingredients,Calories
f9d0babd974871d,Potato Logs,Deep fried seasoned mashed potatoes make tasty little appetizers. Dip them in butter or gravy for a real flavor sensation!,"['oil for deep frying', 'potatoes, peeled and chopped', 'Italian-style seasoning', 'egg yolk', 'all-purpose flour', 'egg white', 'dry bread crumbs']",456.0
0bad194a5865703,Florida Strawberry Muffins,These are moist and delicious despite the fact that there is no liquid other than the berry juice.,"['chopped fresh strawberries', 'white sugar', 'white sugar', 'butter, softened', 'eggs', 'vanilla extract', 'all-purpose flour', 'baking soda', 'salt', 'ground nutmeg']",168.0
4bf21eeb29c4b69,Chocolate Lover's Dream Cookies,"A rich chocolate cookie that is easy to make, and irresistible to chocolate lovers.","['butter', 'light brown sugar', 'white sugar', 'eggs', 'vanilla extract', 'all-purpose flour', 'unsweetened cocoa powder', 'baking soda', 'semisweet chocolate chips', 'milk chocolate chips', 'white chocolate chips', 'chocolate hard candies, crushed']",172.0
670460cbdcf037e,Teriyaki Marinade IV,"This is a quick, easy, tasty marinade for beef or chicken. It's also great just served over rice.","['white sugar', 'garlic powder', 'ground ginger', 'salt', 'Worcestershire sauce', 'reduced sodium teriyaki sauce']",
ca13d1e4f67ee48,Marble Bars,Chocolaty crispy rice cereal bar.,"['white sugar', 'light corn syrup', 'peanut butter', 'chocolate flavored crispy rice cereal', 'semisweet chocolate chips']",276.0
f8c9433fcef8923,Easy Drop Cookies,"My mother made these all year round, she would just change the color of sugar in which they were dipped. Consider putting a small amount of powdered drink mix (e.g.. Kool-Aid crystals) in white sugar to get different colors, and a little flavor. (Don't omit the sugar or the flavor will be too strong. )","['butter', 'white sugar', 'egg', 'vanilla extract', 'milk', 'all-purpose flour', 'baking soda', 'salt']",76.0
78efe75bb1e8618,Baked Fish with Shrimp,"Easy and delicious way to impress your family and guests with a recipe that's almost too simple! The fillets are covered with cooked shrimp and a simple white sauce. Grated Parmesan cheese is sprinkled over the top of this baked dish. Grouper, snapper, and catfish are all good choices for this recipe.","['butter', 'all-purpose flour', 'salt', 'milk', 'red snapper fillets', 'cooked medium shrimp, peeled and deveined', 'grated Parmesan cheese']",341.0
bcfa0a61c8a8f89,Blueberry Walnut Salad,"An easy, yummy salad, perfect for any season, with berries, nuts, and greens. For an entree add chicken, diced apples, and diced green onions!","['mixed salad greens', 'fresh blueberries', 'walnuts', 'raspberry vinaigrette salad dressing', 'crumbled feta cheese']",128.0
8d0ba7a40d0f8a3,Hot Chicken Salad Casserole,Delicious and different casserole that can be made with unseasoned pre-cooked chicken.,"['boneless chicken breast halves, cooked and diced', 'chopped celery', 'sliced water chestnuts', 'sliced mushrooms', 'mayonnaise', 'lemon juice', 'salt', 'grated onion', 'sliced almonds', 'shredded Cheddar cheese', 'crushed potato chips']",548.0
f2f078180631cfb,Vanilla Cream and Chocolate Wafer Pie,"Made with instant vanilla pudding in a chocolate crust with crushed chocolate wafer cookies. For a special treat, drizzle the pie with chocolate syrup before serving.","['heavy whipping cream', 'vanilla extract', 'prepared chocolate cookie crumb crust', 'prepared vanilla pudding', 'chocolate cookie crumbs', 'chocolate syrup (Optional)']",475.0
